"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 04, 2022","173.80","183.00","184.00","171.60","831.80K","-0.57%"
"Sep 01, 2022","174.80","174.40","175.80","170.90","551.36K","1.92%"
"Aug 31, 2022","171.50","166.50","174.90","163.10","1.16M","4.38%"
"Aug 30, 2022","164.30","163.00","166.20","162.80","304.96K","1.05%"
"Aug 29, 2022","162.60","165.00","166.00","161.50","387.64K","-1.28%"
"Aug 28, 2022","164.70","167.90","169.90","163.00","373.60K","-0.48%"
"Aug 25, 2022","165.50","168.00","169.20","163.40","587.24K","0.61%"
"Aug 24, 2022","164.50","169.00","169.80","164.00","377.19K","-2.08%"
"Aug 23, 2022","168.00","162.20","171.50","162.00","1.17M","4.22%"
"Aug 22, 2022","161.20","158.10","162.30","158.10","520.80K","2.15%"
"Aug 21, 2022","157.80","160.00","160.00","157.60","173.47K","-0.32%"
"Aug 17, 2022","158.30","159.90","159.90","157.90","170.64K","0.13%"
"Aug 16, 2022","158.10","158.90","158.90","156.00","188.27K","1.22%"
"Aug 14, 2022","156.20","159.00","163.70","155.50","267.84K","0.13%"
"Aug 11, 2022","156.00","157.90","157.90","155.20","152.32K","0.32%"
"Aug 10, 2022","155.50","156.80","159.00","155.00","193.58K","-1.77%"
"Aug 08, 2022","158.30","158.50","160.00","158.00","188.59K","-0.38%"
"Aug 07, 2022","158.90","163.00","163.00","157.40","176.03K","-0.38%"
"Aug 04, 2022","159.50","159.00","159.90","157.20","271.96K","0.82%"
"Aug 03, 2022","158.20","160.00","161.00","157.60","203.22K","0.06%"
"Aug 02, 2022","158.10","156.00","158.50","155.90","208.34K","1.48%"
"Aug 01, 2022","155.80","156.90","156.90","155.20","118.95K","0.32%"
"Jul 31, 2022","155.30","155.10","156.30","155.00","91.11K","2.78%"
"Jul 28, 2022","151.10","152.30","153.00","151.10","126.69K","-1.95%"
"Jul 27, 2022","154.10","159.00","159.00","154.10","107.90K","-1.97%"
"Jul 26, 2022","157.20","159.00","161.00","156.50","259.06K","-0.13%"
"Jul 25, 2022","157.40","159.00","159.80","154.40","195.33K","1.16%"
"Jul 24, 2022","155.60","160.20","160.50","155.20","136.82K","-1.64%"
"Jul 21, 2022","158.20","160.10","162.90","157.20","246.82K","-0.50%"
"Jul 20, 2022","159.00","160.30","160.30","156.00","261.01K","1.08%"
"Jul 19, 2022","157.30","159.60","159.60","156.50","367.46K","-1.44%"
"Jul 18, 2022","159.60","163.00","163.80","159.60","245.90K","-1.97%"
"Jul 17, 2022","162.80","159.90","165.10","158.00","619.85K","2.45%"
"Jul 14, 2022","158.90","156.70","159.80","156.40","133.09K","1.15%"
"Jul 13, 2022","157.10","157.80","159.90","156.90","171.10K","-0.88%"
"Jul 12, 2022","158.50","160.50","161.90","158.30","116.05K","-1.12%"
"Jul 07, 2022","160.30","163.60","163.60","158.20","138.04K","0.50%"
"Jul 06, 2022","159.50","164.00","164.00","159.00","305.83K","-1.60%"
"Jul 05, 2022","162.10","165.80","165.80","161.60","205.62K","-1.40%"
"Jul 04, 2022","164.40","161.20","166.90","159.30","747.29K","2.49%"
"Jul 03, 2022","160.40","161.60","161.60","157.60","170.80K","1.45%"
"Jun 30, 2022","158.10","158.00","159.40","156.00","248.64K","0.06%"
"Jun 29, 2022","158.00","161.70","161.70","156.00","163.45K","-0.06%"
"Jun 28, 2022","158.10","161.90","161.90","157.50","205.86K","0.44%"
"Jun 27, 2022","157.40","155.50","158.00","154.70","212.11K","0.64%"
"Jun 26, 2022","156.40","159.90","159.90","156.10","165.94K","-1.45%"
"Jun 23, 2022","158.70","163.00","163.00","158.20","204.46K","-0.38%"
"Jun 22, 2022","159.30","164.00","164.00","157.00","229.22K","0.57%"
"Jun 21, 2022","158.40","160.10","162.70","158.10","380.23K","-1.68%"
"Jun 20, 2022","161.10","163.80","163.80","160.70","261.59K","-1.65%"
"Jun 19, 2022","163.80","165.50","165.50","162.60","281.30K","0.06%"
"Jun 16, 2022","163.70","168.80","168.80","162.90","325.39K","0.00%"
"Jun 15, 2022","163.70","165.20","166.50","163.10","547.00K","-0.67%"
"Jun 14, 2022","164.80","169.00","170.80","164.70","463.47K","-1.90%"
"Jun 13, 2022","168.00","164.90","173.00","164.20","1.44M","3.00%"
"Jun 12, 2022","163.10","164.80","165.00","162.20","323.76K","-1.27%"
"Jun 09, 2022","165.20","166.10","168.20","164.80","386.34K","-0.18%"
"Jun 08, 2022","165.50","168.60","169.40","164.70","502.84K","-0.48%"
"Jun 07, 2022","166.30","167.50","168.80","166.00","337.31K","-1.01%"
"Jun 06, 2022","168.00","172.20","173.40","167.90","427.85K","-1.93%"
"Jun 05, 2022","171.30","172.40","175.20","170.70","548.75K","-0.64%"
"Jun 02, 2022","172.40","171.20","177.00","170.70","697.30K","1.11%"
"Jun 01, 2022","170.50","167.90","172.00","167.30","545.22K","2.34%"
"May 31, 2022","166.60","166.50","169.00","166.50","751.49K","-1.88%"
"May 30, 2022","169.80","172.90","173.80","169.80","574.21K","-1.96%"
"May 29, 2022","173.20","169.00","176.00","166.20","1.34M","4.27%"
"May 26, 2022","166.10","165.00","167.60","158.00","622.19K","3.04%"
"May 25, 2022","161.20","167.10","169.50","159.20","836.70K","-3.30%"
"May 24, 2022","166.70","176.10","177.60","166.20","558.42K","-4.69%"
"May 23, 2022","174.90","179.70","183.00","173.00","680.56K","1.27%"
"May 22, 2022","172.70","186.70","186.70","172.60","490.40K","-4.90%"
"May 19, 2022","181.60","187.00","191.00","181.60","680.07K","-4.97%"
"May 18, 2022","191.10","204.50","207.00","191.10","674.46K","-4.97%"
"May 17, 2022","201.10","211.20","214.80","198.80","772.23K","-3.87%"
"May 16, 2022","209.20","222.40","225.00","209.20","733.05K","-5.00%"
"May 12, 2022","220.20","212.90","225.90","202.70","1.56M","3.28%"
"May 11, 2022","213.20","219.80","222.50","205.00","3.53M","4.20%"
"May 10, 2022","204.60","204.60","204.60","204.60","959.97K","10.00%"
"May 09, 2022","186.00","168.50","186.00","168.50","1.71M","9.99%"
"May 08, 2022","169.10","167.00","170.00","167.00","25.81K","1.08%"
"May 05, 2022","167.30","165.50","168.00","165.50","3.86K","0.66%"
"Apr 28, 2022","166.20","167.00","170.20","165.20","17.03K","-1.31%"
"Apr 27, 2022","168.40","167.10","174.00","167.00","8.97K","0.90%"
"Apr 26, 2022","166.90","167.00","167.00","166.10","3.17K","0.12%"
"Apr 25, 2022","166.70","166.20","167.80","166.20","4.26K","0.42%"
"Apr 24, 2022","166.00","168.40","168.40","165.00","16.55K","-1.37%"
"Apr 21, 2022","168.30","167.90","173.00","167.60","20.76K","1.26%"
"Apr 20, 2022","166.20","163.00","167.30","163.00","3.99K","2.09%"
"Apr 19, 2022","162.80","161.00","163.70","161.00","6.12K","0.31%"
"Apr 18, 2022","162.30","161.60","163.00","161.60","5.53K","-1.46%"
"Apr 17, 2022","164.70","164.00","165.10","164.00","1.43K","-0.30%"
"Apr 13, 2022","165.20","163.60","166.90","163.00","2.51K","-0.54%"
"Apr 12, 2022","166.10","169.40","169.40","166.10","26.89K","-1.95%"
"Apr 11, 2022","169.40","169.80","169.90","166.80","13.56K","0.89%"
"Apr 10, 2022","167.90","166.10","170.00","166.10","18.34K","0.42%"
"Apr 07, 2022","167.20","169.80","169.80","165.20","6.28K","0.18%"
"Apr 06, 2022","166.90","166.70","167.80","166.70","9.12K","0.24%"
"Apr 05, 2022","166.50","167.70","169.90","165.30","14.07K","-0.72%"
"Apr 04, 2022","167.70","168.20","170.10","167.60","16.89K","-0.47%"
"Apr 03, 2022","168.50","172.50","172.80","167.20","11.04K","-0.59%"
"Mar 31, 2022","169.50","169.10","171.90","169.10","36.61K","0.12%"
"Mar 30, 2022","169.30","170.40","173.60","169.20","22.39K","-0.94%"
"Mar 29, 2022","170.90","174.90","174.90","170.00","20.53K","-1.38%"
"Mar 28, 2022","173.30","171.50","174.80","170.50","84.40K","1.40%"
"Mar 27, 2022","170.90","170.80","173.90","170.20","48.30K","0.06%"
"Mar 24, 2022","170.80","172.50","172.50","169.20","10.53K","0.23%"
"Mar 23, 2022","170.40","170.00","175.00","170.00","70.62K","-0.29%"
"Mar 22, 2022","170.90","170.90","171.90","169.00","63.65K","1.18%"
"Mar 21, 2022","168.90","164.00","170.00","164.00","37.12K","2.49%"
"Mar 20, 2022","164.80","168.50","172.00","164.10","9.40K","-1.26%"
"Mar 16, 2022","166.90","169.00","169.00","164.00","56.31K","0.91%"
"Mar 15, 2022","165.40","164.90","167.00","163.00","21.46K","1.29%"
"Mar 14, 2022","163.30","163.30","166.00","162.50","20.91K","0.12%"
"Mar 13, 2022","163.10","165.90","165.90","162.60","4.35K","0.31%"
"Mar 10, 2022","162.60","161.00","169.00","161.00","8.14K","1.06%"
"Mar 09, 2022","160.90","158.80","161.00","157.50","17.64K","2.61%"
"Mar 08, 2022","156.80","157.00","158.80","154.00","20.67K","0.64%"
"Mar 07, 2022","155.80","161.50","161.50","155.00","11.64K","-3.53%"
"Mar 06, 2022","161.50","163.00","163.00","161.10","6.09K","-0.92%"
"Mar 03, 2022","163.00","163.10","164.00","160.50","6.87K","-0.06%"
"Mar 02, 2022","163.10","168.80","168.80","161.20","11.15K","-0.67%"
"Mar 01, 2022","164.20","163.90","167.80","163.90","18.99K","0.18%"
"Feb 28, 2022","163.90","169.90","169.90","163.60","11.55K","0.86%"
"Feb 27, 2022","162.50","167.90","167.90","161.60","26.20K","-3.22%"
"Feb 24, 2022","167.90","170.50","171.00","167.10","24.91K","-1.41%"
"Feb 23, 2022","170.30","168.10","171.10","168.10","28.65K","-0.06%"
"Feb 22, 2022","170.40","172.10","173.50","170.00","38.57K","-0.93%"
"Feb 20, 2022","172.00","173.00","173.50","166.50","42.11K","-0.46%"
"Feb 17, 2022","172.80","175.90","176.40","171.60","54.92K","-0.75%"
