"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 04, 2022","288.70","295.00","295.80","288.00","121.84K","-0.45%"
"Sep 01, 2022","290.00","290.00","291.00","289.00","161.03K","0.76%"
"Aug 31, 2022","287.80","295.70","295.70","287.00","167.84K","-0.10%"
"Aug 30, 2022","288.10","295.20","295.30","287.80","148.11K","-1.74%"
"Aug 29, 2022","293.20","290.00","294.10","288.90","205.84K","1.52%"
"Aug 28, 2022","288.80","289.00","291.20","286.80","134.30K","0.63%"
"Aug 25, 2022","287.00","286.60","287.50","286.60","336.13K","0.14%"
"Aug 24, 2022","286.60","288.00","288.00","286.60","131.66K","-0.10%"
"Aug 23, 2022","286.90","286.80","288.00","286.70","158.91K","0.07%"
"Aug 22, 2022","286.70","288.90","288.90","286.60","358.18K","-0.10%"
"Aug 21, 2022","287.00","287.00","288.80","286.60","100.43K","0.07%"
"Aug 17, 2022","286.80","287.00","288.00","286.70","267.10K","-0.07%"
"Aug 16, 2022","287.00","288.90","288.90","286.60","768.63K","-0.07%"
"Aug 14, 2022","287.20","288.00","290.90","287.00","58.13K","-0.03%"
"Aug 11, 2022","287.30","292.00","292.00","286.60","441.34K","-5.09%"
"Aug 08, 2022","302.70","302.90","305.20","300.10","180.71K","-0.23%"
"Aug 07, 2022","303.40","300.00","305.00","294.00","190.22K","1.23%"
"Aug 04, 2022","299.70","299.10","301.50","296.20","138.84K","0.67%"
"Aug 03, 2022","297.70","301.20","301.20","297.00","264.64K","-0.30%"
"Aug 02, 2022","298.60","298.90","300.20","295.70","216.45K","0.27%"
"Aug 01, 2022","297.80","294.10","298.50","294.10","118.48K","1.19%"
"Jul 31, 2022","294.30","287.30","295.40","287.30","184.72K","3.01%"
"Jul 28, 2022","285.70","289.40","289.40","283.00","113.17K","-0.21%"
"Jul 27, 2022","286.30","286.00","287.80","286.00","96.03K","0.00%"
"Jul 26, 2022","286.30","289.40","289.40","286.00","225.92K","-0.28%"
"Jul 25, 2022","287.10","286.90","288.00","286.00","129.68K","-0.28%"
"Jul 24, 2022","287.90","289.50","289.50","285.00","64.10K","0.28%"
"Jul 21, 2022","287.10","287.50","288.50","286.00","110.78K","0.38%"
"Jul 20, 2022","286.00","286.30","289.40","285.00","187.80K","-0.10%"
"Jul 19, 2022","286.30","290.80","291.00","283.80","270.76K","-1.11%"
"Jul 18, 2022","289.50","289.80","291.60","285.40","486.31K","-0.10%"
"Jul 17, 2022","289.80","289.90","290.60","288.20","71.21K","0.38%"
"Jul 14, 2022","288.70","287.80","289.30","286.90","148.58K","0.31%"
"Jul 13, 2022","287.80","290.00","290.00","287.10","180.50K","-0.45%"
"Jul 12, 2022","289.10","294.00","294.00","288.00","137.94K","0.28%"
"Jul 07, 2022","288.30","287.50","290.70","287.50","446.09K","-1.70%"
"Jul 06, 2022","293.30","292.00","294.90","292.00","244.50K","0.76%"
"Jul 05, 2022","291.10","277.00","296.70","277.00","1.02M","3.01%"
"Jul 04, 2022","282.60","282.60","282.60","282.60","92.53K","-1.98%"
"Jul 03, 2022","288.30","288.30","288.30","288.30","61.42K","-1.97%"
"Jun 30, 2022","294.10","294.90","294.90","294.10","173.26K","-2.00%"
"Jun 29, 2022","300.10","302.80","302.90","299.60","329.60K","-0.89%"
"Jun 28, 2022","302.80","303.10","304.50","301.90","189.08K","-0.03%"
"Jun 27, 2022","302.90","305.50","305.60","302.50","240.55K","-0.88%"
"Jun 26, 2022","305.60","305.00","305.90","304.20","37.68K","0.63%"
"Jun 23, 2022","303.70","305.00","305.00","303.40","98.25K","-0.03%"
"Jun 22, 2022","303.80","306.90","306.90","303.20","106.34K","-0.07%"
"Jun 21, 2022","304.00","304.10","307.00","303.40","131.53K","-0.10%"
"Jun 20, 2022","304.30","306.00","306.70","304.10","131.20K","-0.88%"
"Jun 19, 2022","307.00","307.00","307.60","305.10","47.78K","0.62%"
"Jun 16, 2022","305.10","304.50","306.00","304.00","88.70K","0.20%"
"Jun 15, 2022","304.50","307.80","307.80","304.00","117.00K","-0.07%"
"Jun 14, 2022","304.70","306.00","306.00","304.20","56.02K","-0.36%"
"Jun 13, 2022","305.80","307.00","307.70","305.20","50.99K","-0.59%"
"Jun 12, 2022","307.60","305.90","308.00","305.60","30.20K","0.65%"
"Jun 09, 2022","305.60","308.00","308.00","305.10","71.72K","0.33%"
"Jun 08, 2022","304.60","308.00","308.00","302.00","115.28K","-0.46%"
"Jun 07, 2022","306.00","307.30","310.00","305.50","119.98K","-0.39%"
"Jun 06, 2022","307.20","313.40","313.60","307.20","183.55K","-1.98%"
"Jun 05, 2022","313.40","306.90","314.50","306.90","155.72K","2.96%"
"Jun 02, 2022","304.40","309.50","309.50","304.00","91.34K","-0.78%"
"Jun 01, 2022","306.80","308.00","308.00","306.00","107.10K","-0.10%"
"May 31, 2022","307.10","310.00","310.00","306.70","52.15K","-0.13%"
"May 30, 2022","307.50","310.00","312.00","306.40","63.46K","-0.58%"
"May 29, 2022","309.30","304.90","314.00","303.50","69.96K","2.83%"
