"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 04, 2022","212.60","211.80","213.50","211.50","276.44K","0.38%"
"Sep 01, 2022","211.80","213.00","213.00","211.40","1.02M","0.33%"
"Aug 31, 2022","211.10","212.00","213.00","209.90","892.16K","-0.38%"
"Aug 30, 2022","211.90","213.00","213.00","211.50","679.86K","-0.09%"
"Aug 29, 2022","212.10","214.00","214.00","211.50","764.64K","-0.52%"
"Aug 28, 2022","213.20","212.00","213.40","212.00","475.66K","0.57%"
"Aug 25, 2022","212.00","211.80","212.50","210.80","451.23K","0.09%"
"Aug 24, 2022","211.80","212.90","213.00","211.60","240.87K","-0.09%"
"Aug 23, 2022","212.00","212.10","215.00","211.70","749.90K","-0.28%"
"Aug 22, 2022","212.60","213.30","213.30","212.40","446.69K","-0.19%"
"Aug 21, 2022","213.00","213.10","213.10","212.00","242.24K","0.19%"
"Aug 17, 2022","212.60","213.00","213.30","212.20","352.02K","-0.09%"
"Aug 16, 2022","212.80","213.00","213.30","212.50","153.86K","-0.14%"
"Aug 14, 2022","213.10","212.70","213.70","212.30","103.06K","0.71%"
"Aug 11, 2022","211.60","213.90","214.00","211.00","74.76K","-0.70%"
"Aug 10, 2022","213.10","215.00","215.00","211.30","129.41K","-0.19%"
"Aug 08, 2022","213.50","215.00","215.00","212.50","178.16K","-0.74%"
"Aug 07, 2022","215.10","214.00","216.20","214.00","277.42K","-0.46%"
"Aug 04, 2022","216.10","213.60","216.80","213.00","590.95K","1.27%"
"Aug 03, 2022","213.40","213.00","215.90","212.80","351.74K","0.61%"
"Aug 02, 2022","212.10","211.50","212.90","210.00","326.65K","0.66%"
"Aug 01, 2022","210.70","211.60","211.70","209.80","370.62K","-0.38%"
"Jul 31, 2022","211.50","212.00","212.00","209.90","115.94K","1.24%"
"Jul 28, 2022","208.90","209.90","209.90","207.50","509.23K","-0.48%"
"Jul 27, 2022","209.90","212.90","212.90","209.20","249.23K","-0.29%"
"Jul 26, 2022","210.50","212.00","212.00","210.00","398.89K","0.24%"
"Jul 25, 2022","210.00","209.10","210.70","209.00","378.22K","-0.05%"
"Jul 24, 2022","210.10","212.30","212.30","209.80","205.82K","-0.99%"
"Jul 21, 2022","212.20","214.90","214.90","211.70","316.01K","-0.33%"
"Jul 20, 2022","212.90","211.00","214.40","210.20","270.55K","0.05%"
"Jul 19, 2022","212.80","212.30","213.50","209.00","323.60K","-0.19%"
"Jul 18, 2022","213.20","214.90","215.10","213.00","286.55K","-0.88%"
"Jul 17, 2022","215.10","214.50","215.30","214.30","152.15K","0.19%"
"Jul 14, 2022","214.70","214.70","215.00","213.50","134.96K","-0.09%"
"Jul 13, 2022","214.90","215.00","215.80","214.70","143.79K","-0.23%"
"Jul 12, 2022","215.40","215.00","216.00","214.80","120.55K","0.14%"
"Jul 07, 2022","215.10","215.00","215.70","214.60","182.70K","0.00%"
"Jul 06, 2022","215.10","215.40","215.80","214.60","155.90K","0.14%"
"Jul 05, 2022","214.80","214.60","215.70","214.60","328.97K","-0.37%"
"Jul 04, 2022","215.60","215.00","216.00","214.00","349.88K","0.23%"
"Jul 03, 2022","215.10","216.60","216.60","214.90","188.00K","-0.74%"
"Jun 30, 2022","216.70","216.80","218.60","214.70","1.15M","-0.60%"
"Jun 29, 2022","218.00","217.00","218.20","216.60","354.07K","0.37%"
"Jun 28, 2022","217.20","216.00","217.50","215.90","430.79K","0.65%"
"Jun 27, 2022","215.80","215.00","215.90","214.60","407.44K","0.00%"
"Jun 26, 2022","215.80","215.00","216.00","214.70","336.35K","0.37%"
"Jun 23, 2022","215.00","215.80","215.80","214.60","215.98K","0.00%"
"Jun 22, 2022","215.00","216.00","216.10","214.50","682.03K","-0.14%"
"Jun 21, 2022","215.30","214.30","216.20","213.90","245.93K","0.28%"
"Jun 20, 2022","214.70","215.50","215.80","214.00","297.77K","-0.09%"
"Jun 19, 2022","214.90","215.70","216.40","214.60","139.57K","-0.37%"
"Jun 16, 2022","215.70","213.60","216.60","213.60","467.84K","1.13%"
"Jun 15, 2022","213.30","215.90","215.90","212.60","517.28K","-0.42%"
"Jun 14, 2022","214.20","216.00","216.50","213.60","273.33K","-0.56%"
"Jun 13, 2022","215.40","216.50","216.50","214.50","128.33K","-0.14%"
"Jun 12, 2022","215.70","216.00","217.90","214.90","286.08K","-1.10%"
"Jun 09, 2022","218.10","219.20","219.20","217.70","244.40K","0.09%"
"Jun 08, 2022","217.90","221.30","221.30","217.70","104.82K","-0.32%"
"Jun 07, 2022","218.60","218.80","219.50","218.00","148.96K","0.14%"
"Jun 06, 2022","218.30","221.20","221.20","217.60","180.58K","-1.31%"
"Jun 05, 2022","221.20","220.50","223.10","218.10","512.30K","1.28%"
"Jun 02, 2022","218.40","219.90","219.90","217.50","124.16K","0.51%"
"Jun 01, 2022","217.30","218.50","219.00","215.20","568.19K","0.56%"
"May 31, 2022","216.10","217.80","218.30","215.10","598.23K","0.14%"
"May 30, 2022","215.80","216.40","216.90","215.00","359.55K","-0.32%"
"May 29, 2022","216.50","214.00","217.10","213.20","375.77K","2.27%"
"May 26, 2022","211.70","210.50","212.00","209.80","414.18K","0.09%"
"May 25, 2022","211.50","211.10","212.80","210.00","589.06K","0.19%"
